,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands",12 Months Ended,12 Months Ended,12 Months Ended
,"CONSOLIDATED STATEMENTS OF OPERATIONS - USD ($)  shares in Thousands, $ in Thousands","Dec. 31, 2023","Dec. 31, 2022","Dec. 31, 2021"
0,REVENUES,,,
1,Rental income,"$ 2,873,964","$ 2,735,180","$ 2,463,997"
2,EXPENSES,,,
3,Property and maintenance,514575,483865,453532
4,Real estate taxes and insurance,412114,388412,397105
5,Property management,119804,110304,98155
6,General and administrative,60716,58710,56506
7,Depreciation,888709,882168,838272
8,Total expenses,1995918,1923459,1843570
9,Net gain (loss) on sales of real estate properties,282539,304325,1072183
10,Impairment,,,"(16,769)"
11,Operating income,1160585,1116046,1675841
12,Interest and other income,22345,2193,25666
13,Other expenses,"(29,419)","(13,664)","(19,275)"
14,Interest:,,,
15,"Expense incurred, net","(269,556)","(282,920)","(272,473)"
16,Amortization of deferred financing costs,"(8,941)","(8,729)","(8,737)"
17,"Income before income and other taxes, income (loss) from investments in unconsolidated entities and net gain (loss) on sales of land parcels",875014,812926,1401022
18,Income and other tax (expense) benefit,"(1,148)",(900),(915)
19,Income (loss) from investments in unconsolidated entities,"(5,378)","(5,031)","(3,398)"
20,Net gain (loss) on sales of land parcels,,,5
21,Net income,868488,806995,1396714
22,Net (income) loss attributable to Noncontrolling Interests:,,,
23,Operating Partnership,"(26,710)","(26,310)","(45,900)"
24,Partially Owned Properties,"(6,340)","(3,774)","(17,964)"
25,Net income attributable to controlling interests,835438,776911,1332850
26,Preferred distributions,"(3,090)","(3,090)","(3,090)"
27,Net income available to Common Shares,"$ 832,348","$ 773,821","$ 1,329,760"
28,Earnings per share – basic:,,,
29,Net income available to Common Shares,$ 2.2,$ 2.06,$ 3.56
30,Weighted average Common Shares outstanding,378773,376209,373833
31,Earnings per share – diluted:,,,
32,Net income available to Common Shares,$ 2.2,$ 2.05,$ 3.54
33,Weighted average Common Shares outstanding,390897,389450,388089
