,"Consolidated Statement of Income - USD ($)  shares in Millions, $ in Millions",12 Months Ended,12 Months Ended,12 Months Ended
,"Consolidated Statement of Income - USD ($)  shares in Millions, $ in Millions","Dec. 31, 2021","Dec. 31, 2020","Dec. 31, 2019"
0,Income Statement [Abstract],,,
1,Net sales,"$ 35,355","$ 32,184","$ 32,136"
2,Operating expenses,,,
3,Cost of sales,18795,16605,17136
4,"Selling, general and administrative expenses",7197,6929,7029
5,"Research, development and related expenses",1994,1878,1911
6,Gain on sale of businesses,0,(389),(114)
7,Total operating expenses,27986,25023,25962
8,Operating income,7369,7161,6174
9,"Other expense (income), net",165,366,531
10,Income before income taxes,7204,6795,5643
11,Provision for income taxes,1285,1337,1114
12,Income of consolidated group,5919,5458,4529
13,"Income (loss) from unconsolidated subsidiaries, net of taxes",10,(5),0
14,Net income including noncontrolling interest,5929,5453,4529
15,Less: Net income (loss) attributable to noncontrolling interest,8,4,12
16,Net income attributable to 3M,"$ 5,921","$ 5,449","$ 4,517"
17,Weighted average 3M common shares outstanding - basic (in shares),579.0,577.6,577.0
18,Earnings per share attributable to 3M common shareholders - basic (in dollars per share),$ 10.23,$ 9.43,$ 7.83
19,Weighted average 3M common shares outstanding - diluted (in shares),585.3,582.2,585.1
20,Earnings per share attributable to 3M common shareholders - diluted (in dollars per share),$ 10.12,$ 9.36,$ 7.72
